Roster Year,Player Filename,Firstname,Surname,Position,Birthdate,Height,Hometown,State Code,Division Code,Region Code,Hometown Population,First College Name,First College Public,First College Private,First College Community,First College Location,First College Enrollment,Second College Name,Second College Public,Second College Private,Second College Community,Second College Location,Second College Enrollment
2009,USWNT/heather-mitts.html,Heather,Mitts,Defender,1978-06-09T00:00:00Z,5-5,"Cincinnati, Ohio",39,3,2,296943.0,University of Florida,n,n,n,"Gainesville,Florida","56,079 ",null,null,null,null,null,null
2009,USWNT/christie-rampone.html,Christie,Rampone,Defender,1975-06-24T00:00:00Z,5-6,"Point Pleasant, N.J.",34,2,1,18392.0,Monmouth University,n,y,n,"West Long Branch,New Jersey","6,167",null,null,null,null,null,null
2009,USWNT/amy-rodriguez.html,Amy,Rodriguez,Forward,1987-02-17T00:00:00Z,5-4,"Lake Forest, Calif.",6,9,4,77264.0,University of Southern California,n,y,n,"Los Angeles,California","45,687",null,null,null,null,null,null
2009,USWNT/cat-whitehill.html,Cat,Whitehill,Defender,1982-02-10T00:00:00Z,5-7,"Birmingham, Ala.",1,6,3,212237.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2009,USWNT/hope-solo.html,Hope,Solo,Goalkeeper,1981-07-30T00:00:00Z,5-9,"Richland, Wash.",53,9,4,48058.0,University of Washington,y,n,n,"Seattle,Washington","46,686 ",null,null,null,null,null,null
2009,USWNT/christine-nairn.html,Christine,Nairn,Midfielder,1990-09-25T00:00:00Z,5-6,"Annapolis, Md.",24,5,3,38394.0,Pennsylvania State University,n,n,n,"University Park,Pennsylvania","47,307 ",null,null,null,null,null,null
2009,USWNT/tobin-heath.html,Tobin,Heath,Forward,1988-05-29T00:00:00Z,5-6,"Basking Ridge, N.J.",34,2,1,null,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2009,USWNT/natasha-kai.html,Natasha,Kai,Forward,1983-05-22T00:00:00Z,5-8,"Kahuku, Hawaii",15,9,4,2614.0,University of Hawaii at Manoa,y,n,n,"Honolulu,Hawaii","17,710 ",null,null,null,null,null,null
2009,USWNT/angela-hucles.html,Angela,Hucles,Forward,1978-07-05T00:00:00Z,5-7,"Virginia Beach, Va.",51,5,3,437994.0,University of Virginia,y,n,n,"Charlottesville,Virginia","24,360",null,null,null,null,null,null
2009,USWNT/abby-wambach.html,Abby,Wambach,Forward,1980-06-02T00:00:00Z,5-11,"Rochester, N.Y.",36,2,1,210565.0,University of Florida,n,n,n,"Gainesville,Florida","56,079 ",null,null,null,null,null,null
2009,USWNT/lauren-holiday.html,Lauren,Holiday,Midfielder,1987-09-30T00:00:00Z,5-8,"Indianapolis, Ind.",18,3,2,820445.0,"University of California, Los Angeles",y,n,n,"Westwood, Los Angeles,California","45,428 ",null,null,null,null,null,null
2009,USWNT/rachel-buehler.html,Rachel,Van Hollebeke,Defender,1985-08-26T00:00:00Z,5-5,"Del Mar, Calif.",6,9,4,4161.0,Stanford University,n,y,n,"Stanford,California","16,520",null,null,null,null,null,null
2009,USWNT/ella-masar.html,Ella,Masar,Forward,1986-04-03T00:00:00Z,5-7,"Urbana, Ill.",17,3,2,41250.0,University of Illinois at Urbana–Champaign,y,n,n,"Urbana,Champaign,Illinois","49,339 ",null,null,null,null,null,null
2009,USWNT/shannon-boxx.html,Shannon,Boxx,Midfielder,1977-06-29T00:00:00Z,5-8,"Redondo Beach, Calif.",6,9,4,66748.0,University of Notre Dame,n,y,n,"Notre Dame,Indiana","12,292",null,null,null,null,null,null
2009,USWNT/marian-dalmy.html,Marian,Dalmy,Defender,1984-11-25T00:00:00Z,5-10,"Lakewood, Colo.",8,8,4,142980.0,Santa Clara University,n,y,n,"Santa Clara,California","8,629 ",null,null,null,null,null,null
2009,USWNT/stephanie-cox.html,Stephanie,Cox,Defender,1986-04-03T00:00:00Z,5-6,"Elk Grove, Calif.",6,9,4,153015.0,University of Portland,n,y,n,"Portland,Oregon","4,338 ",null,null,null,null,null,null
2009,USWNT/lori-chalupny.html,Lori,Chalupny,Defender,1984-01-29T00:00:00Z,5-4,"St. Louis, Mo.",29,4,2,319294.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2009,USWNT/nicole-barnhart.html,Nicole,Barnhart,Goalkeeper,1981-10-10T00:00:00Z,5-10,"Gilbertsville, Pa.",42,2,1,4832.0,Stanford University,n,y,n,"Stanford,California","16,520",null,null,null,null,null,null
2009,USWNT/leslie-osborne.html,Leslie,Osborne,Midfielder,1983-05-27T00:00:00Z,5-8,"Brookfield, Wis.",55,3,2,37920.0,Santa Clara University,n,y,n,"Santa Clara,California","8,629 ",null,null,null,null,null,null
2018,USWNT/ashley-hatch.html,Ashley,Hatch,Forward,1995-05-25T00:00:00Z,5-9,"Gilbert, Ariz.",4,8,4,208453.0,Brigham Young University,n,y,n,"Provo,Utah","33,633",null,null,null,null,null,null
2018,USWNT/jessica-mcdonald.html,Jessica,McDonald,Forward,1988-02-28T00:00:00Z,5-10,"Glendale, Ariz.",4,8,4,226721.0,Phoenix College,n,n,y,"Phoenix,Arizona","12,000",University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 "
2018,USWNT/andi-sullivan.html,Andi,Sullivan,Midfielder,1995-12-20T00:00:00Z,5-7,"Lorton, Va.",51,5,3,18610.0,Stanford University,n,y,n,"Stanford,California","16,520",null,null,null,null,null,null
2018,USWNT/sofia-huerta.html,Sofia,Huerta,Defender,1992-12-14T00:00:00Z,5-7,"Boise, Idaho",16,8,4,205671.0,Santa Clara University,n,y,n,"Santa Clara,California","8,629 ",null,null,null,null,null,null
2018,USWNT/savannah-mccaskill.html,Savannah,McCaskill,Forward,1996-07-31T00:00:00Z,5-4,"Chapin, S.C.",45,5,3,1445.0,University of South Carolina,y,n,n,"Columbia,South Carolina","34,099 ",null,null,null,null,null,null
2018,USWNT/emily-fox.html,Emily,Fox,Defender,1998-07-05T00:00:00Z,5-5,"Ashburn, Va.",51,5,3,43511.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2018,USWNT/abby-dahlkemper.html,Abby,Dahlkemper,Defender,1993-05-13T00:00:00Z,5-7,"Menlo Park, Calif.",6,9,4,32026.0,"University of California, Los Angeles",y,n,n,"Westwood, Los Angeles,California","45,428 ",null,null,null,null,null,null
2018,USWNT/carli-lloyd.html,Carli,Lloyd,Forward,1982-07-16T00:00:00Z,5-8,"Delran, N.J.",34,2,1,null,Rutgers University–New Brunswick,y,n,n,"New Brunswick,Piscataway,New Jersey","40,720 ",null,null,null,null,null,null
2018,USWNT/danielle-colaprico.html,Danielle,Colaprico,Midfielder,1993-09-06T00:00:00Z,5-5,"Freehold, N.J.",34,2,1,12052.0,University of Virginia,y,n,n,"Charlottesville,Virginia","24,360",null,null,null,null,null,null
2018,USWNT/lynn-williams.html,Lynn,Williams,Forward,1993-05-21T00:00:00Z,5-7,"Fresno, Calif.",6,9,4,494665.0,Pepperdine University,n,y,n,"Malibu,California","7,710 ",null,null,null,null,null,null
2018,USWNT/crystal-dunn.html,Crystal,Dunn,Defender,1992-07-03T00:00:00Z,5-1,"Rockville Centre, N.Y.",36,2,1,24023.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2018,USWNT/megan-rapinoe.html,Megan,Rapinoe,Forward,1985-07-05T00:00:00Z,5-7,"Redding, Calif.",6,9,4,89861.0,University of Portland,n,y,n,"Portland,Oregon","4,338 ",null,null,null,null,null,null
2018,USWNT/tobin-heath.html,Tobin,Heath,Forward,1988-05-29T00:00:00Z,5-6,"Basking Ridge, N.J.",34,2,1,null,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2018,USWNT/mallory-pugh.html,Mallory,Pugh,Forward,1998-04-29T00:00:00Z,5-5,"Highlands Ranch, Colo.",8,8,4,96713.0,null,null,null,null,null,null,null,null,null,null,null,null
2018,USWNT/morgan-brian.html,Morgan,Brian,Midfielder,1993-02-26T00:00:00Z,5-7,"St. Simons Island, Ga.",13,5,3,12743.0,University of Virginia,y,n,n,"Charlottesville,Virginia","24,360",null,null,null,null,null,null
2018,USWNT/adrianna-franch.html,Adrianna,Franch,Goalkeeper,1990-11-12T00:00:00Z,5-9,"Salina, Kan.",20,4,2,47707.0,Oklahoma State University–Stillwater,y,n,n,"Stillwater,Oklahoma","25,295",null,null,null,null,null,null
2018,USWNT/casey-short.html,Casey,Short,Defender,1990-08-23T00:00:00Z,5-7,"Naperville, Ill.",17,3,2,141853.0,Florida State University,n,n,n,"Tallahassee,Florida","41,900 ",null,null,null,null,null,null
2018,USWNT/lindsey-horan.html,Lindsey,Horan,Midfielder,1994-05-26T00:00:00Z,5-9,"Golden, Colo.",8,8,4,18867.0,null,null,null,null,null,null,null,null,null,null,null,null
2018,USWNT/alyssa-naeher.html,Alyssa,Naeher,Goalkeeper,1988-04-20T00:00:00Z,5-9,"Stratford, Conn.",9,1,1,51384.0,Pennsylvania State University,n,n,n,"University Park,Pennsylvania","47,307 ",null,null,null,null,null,null
2018,USWNT/haley-hanson.html,Haley,Hanson,Midfielder,1996-02-22T00:00:00Z,5-6,"Lincoln, Neb.",31,4,2,258379.0,University of Nebraska–Lincoln,y,n,n,"Lincoln,Nebraska","25,820 ",null,null,null,null,null,null
2018,USWNT/merritt-mathias.html,Merritt,Mathias,Defender,1990-07-02T00:00:00Z,5-3,"Birmingham, Ala.",1,6,3,212237.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",Texas A&M University,y,n,n,"College Station,Texas","69,367 "
2018,USWNT/mccall-zerboni.html,McCall,Zerboni,Midfielder,1986-12-13T00:00:00Z,5-4,"Camarillo, Calif.",6,9,4,65201.0,"University of California, Los Angeles",y,n,n,"Westwood, Los Angeles,California","45,428 ",null,null,null,null,null,null
2018,USWNT/tierna-davidson.html,Tierna,Davidson,Defender,1998-09-19T00:00:00Z,5-10,"Menlo Park, Calif.",6,9,4,32026.0,Stanford University,n,y,n,"Stanford,California","16,520",null,null,null,null,null,null
2018,USWNT/samantha-mewis.html,Samantha,Mewis,Midfielder,1992-10-09T00:00:00Z,6-0,"Hanson, Mass.",25,1,1,2118.0,"University of California, Los Angeles",y,n,n,"Westwood, Los Angeles,California","45,428 ",null,null,null,null,null,null
2018,USWNT/alex-morgan.html,Alex,Morgan,Forward,1989-07-02T00:00:00Z,5-7,"Diamond Bar, Calif.",6,9,4,55544.0,"University of California, Berkeley",y,n,n,"Berkeley,California","42,519 ",null,null,null,null,null,null
2018,USWNT/taylor-smith.html,Taylor,Smith,Defender,1993-12-01T00:00:00Z,5-3,"Fort Worth, Texas",48,7,3,741206.0,"University of California, Los Angeles",y,n,n,"Westwood, Los Angeles,California","45,428 ",null,null,null,null,null,null
2018,USWNT/rose-lavelle.html,Rose,Lavelle,Midfielder,1995-05-14T00:00:00Z,5-4,"Cincinnati, Ohio",39,3,2,296943.0,University of Wisconsin–Madison,y,n,n,"Madison,Wisconsin","44,413 ",null,null,null,null,null,null
2018,USWNT/kelley-ohara.html,Kelley,O'Hara,Defender,1988-08-04T00:00:00Z,5-5,"Fayetteville, Ga.",13,5,3,15945.0,Stanford University,n,y,n,"Stanford,California","16,520",null,null,null,null,null,null
2018,USWNT/allie-long.html,Allie,Long,Midfielder,1987-08-13T00:00:00Z,5-8,"Northport, N.Y.",36,2,1,7401.0,Pennsylvania State University,n,n,n,"University Park,Pennsylvania","47,307 ",University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 "
2018,USWNT/ashlyn-harris.html,Ashlyn,Harris,Goalkeeper,1985-10-19T00:00:00Z,5-9,"Satellite Beach, Fla.",12,5,3,10109.0,University of North Carolina at Chapel Hill,y,n,n,"Chapel Hill,North Carolina","29,847 ",null,null,null,null,null,null
2018,USWNT/emily-sonnett.html,Emily,Sonnett,Defender,1993-11-25T00:00:00Z,5-7,"Marietta, Ga.",13,5,3,56579.0,University of Virginia,y,n,n,"Charlottesville,Virginia","24,360",null,null,null,null,null,null
2018,USWNT/julie-johnston.html,Julie,Ertz,Midfielder,1992-04-06T00:00:00Z,5-7,"Mesa, Ariz.",4,8,4,439041.0,Santa Clara University,n,y,n,"Santa Clara,California","8,629 ",null,null,null,null,null,null
2018,USWNT/tegan-mcgrady.html,Tegan,McGrady,Defender,1997-10-11T00:00:00Z,5-6,"San Jose, Calif",6,9,4,945942.0,Stanford University,n,y,n,"Stanford,California","16,520",null,null,null,null,null,null
2018,USWNT/amy-rodriguez.html,Amy,Rodriguez,Forward,1987-02-17T00:00:00Z,5-4,"Lake Forest, Calif.",6,9,4,77264.0,University of Southern California,n,y,n,"Los Angeles,California","45,687",null,null,null,null,null,null
2018,USWNT/jane-campbell.html,Jane,Campbell,Goalkeeper,1995-02-17T00:00:00Z,5-9,"Kennesaw, Ga.",13,5,3,29783.0,Stanford University,n,y,n,"Stanford,California","16,520",null,null,null,null,null,null
2018,USWNT/becky-sauerbrunn.html,Becky,Sauerbrunn,Defender,1985-06-06T00:00:00Z,5-7,"St. Louis, Mo.",29,4,2,319294.0,University of Virginia,y,n,n,"Charlottesville,Virginia","24,360",null,null,null,null,null,null
2018,USWNT/christen-press.html,Christen,Press,Forward,1988-12-29T00:00:00Z,5-7,"Palos Verdes Estates, Calif.",6,9,4,13438.0,Stanford University,n,y,n,"Stanford,California","16,520",null,null,null,null,null,null
2018,USWNT/hailie-mace.html,Hailie,Mace,Defender,1997-03-24T00:00:00Z,5-7,"Ventura, Calif.",6,9,4,106433.0,"University of California, Los Angeles",y,n,n,"Westwood, Los Angeles,California","45,428 ",null,null,null,null,null,null
